node_id,longitude,latitude
409472815,-71.5347649,-16.417624
409472817,-71.5414472,-16.4214134
409473092,-71.5452408,-16.4230025
461499177,-71.5343086,-16.3968025
461499178,-71.5332068,-16.3971967
462009629,-71.5340491,-16.3992429
462009631,-71.5325669,-16.39861
472283032,-71.5320435,-16.3944035
472283033,-71.5314002,-16.391951
531251853,-71.53531,-16.3933022
531251864,-71.5343873,-16.3922998
531251889,-71.5323625,-16.3918845
531251996,-71.5317896,-16.3939176
531252021,-71.5336573,-16.3934197
531252143,-71.5317367,-16.3935228
531252148,-71.5314024,-16.3918844
531263579,-71.5285466,-16.3909191
531269880,-71.5307318,-16.3916436
531269963,-71.530692,-16.3917021
531270051,-71.5306669,-16.3924386
531270064,-71.5306441,-16.3934902
531270069,-71.5310529,-16.3947759
531270096,-71.5315156,-16.3924223
531270109,-71.5293583,-16.3934083
873867970,-71.546502,-16.4005144
873867977,-71.5445806,-16.3985992
873868065,-71.5338353,-16.3933738
876655990,-71.5365744,-16.3946315
876655994,-71.5366831,-16.3951914
876655996,-71.5366365,-16.3947889
876656003,-71.5363377,-16.3953833
876656015,-71.5363296,-16.3946783
876656016,-71.5370593,-16.3958264
876656017,-71.5364156,-16.3953241
876656025,-71.5426316,-16.3964002
876656039,-71.536666,-16.3945964
876656046,-71.5370664,-16.397631
876656059,-71.5364766,-16.3960707
876656064,-71.5363841,-16.3948796
876656091,-71.5365623,-16.394607
876656094,-71.5370163,-16.3957063
876656103,-71.536933,-16.3959173
876656108,-71.5368224,-16.3956102
911059921,-71.5321428,-16.3975711
911059962,-71.5314637,-16.3990112
914103783,-71.5284137,-16.3938503
914103844,-71.5310208,-16.3979809
914192142,-71.5404998,-16.4054799
914192146,-71.5405656,-16.4043258
914192160,-71.5430625,-16.4033138
914202058,-71.5336362,-16.3982212
914626999,-71.5323181,-16.3950766
1198280880,-71.547311,-16.3974138
1198315877,-71.5497827,-16.417508
1198315894,-71.5444786,-16.4220537
1198315913,-71.5455976,-16.4210432
1198315916,-71.5443831,-16.4224562
1198315928,-71.5442546,-16.4224562
1198315931,-71.5504487,-16.4169741
1198315932,-71.5500743,-16.4177937
1198315949,-71.5445928,-16.4221691
1198315960,-71.5502458,-16.416885
1198453759,-71.5582346,-16.4272805
1198453785,-71.55816,-16.4273419
1198729212,-71.554139,-16.4135682
1252902836,-71.563005,-16.4320415
1252903591,-71.518726,-16.403876
1252906565,-71.5380008,-16.400145
1252908763,-71.5499623,-16.4019904
1252909280,-71.5364608,-16.4093948
1252911231,-71.5601926,-16.4298194
1252914267,-71.5350429,-16.4046928
1252914298,-71.527605,-16.4122088
1252917034,-71.5385011,-16.3964736
1252918191,-71.5334034,-16.4082854
1252919040,-71.5461577,-16.3990815
1252919106,-71.5495275,-16.4042227
1252919791,-71.5279979,-16.4130023
1252921146,-71.5369674,-16.4005453
1252922332,-71.5293945,-16.3973352
1252923627,-71.543504,-16.4140604
1252923874,-71.5445181,-16.408513
1252927980,-71.5294338,-16.4139184
1252928877,-71.5399633,-16.4112959
1252929363,-71.5372268,-16.3851501
1252929676,-71.5517694,-16.4055064
1252930652,-71.5501226,-16.4101795
1252931128,-71.5490895,-16.408318
1252931258,-71.548615,-16.3994126
1252931298,-71.5331565,-16.4168338
1252936815,-71.5434862,-16.3981745
1252937878,-71.5373912,-16.4091773
1252938065,-71.5239577,-16.3980728
1252938327,-71.5274319,-16.4120929
1252938522,-71.5430318,-16.4054032
1252941623,-71.5415099,-16.400163
1252947417,-71.535923,-16.4089623
1252947852,-71.5404223,-16.4033502
1252947886,-71.5493437,-16.4165508
1252948881,-71.5464404,-16.4109838
1252953912,-71.530581,-16.3995301
1252955837,-71.5288491,-16.4146442
1252967044,-71.5303285,-16.4032297
1252969336,-71.5404317,-16.4150915
1252971270,-71.526739,-16.408125
1252973382,-71.5183076,-16.4016966
1252975023,-71.5451522,-16.4016359
1252976709,-71.5189984,-16.402352
1252980613,-71.5444199,-16.4082889
1252983486,-71.5266699,-16.4059866
1252983988,-71.5361464,-16.4042962
1252984299,-71.5416662,-16.4001069
1252986345,-71.5403624,-16.4209332
1252986887,-71.5368261,-16.3910444
1252988417,-71.5394531,-16.4008255
1252991786,-71.5466922,-16.3988799
1252992870,-71.5477363,-16.4190835
1252993739,-71.5290874,-16.4142681
1252995416,-71.5390826,-16.3997805
1252999279,-71.5493931,-16.4022831
1252999335,-71.5352592,-16.4128068
1252999562,-71.5387272,-16.4076301
1253000420,-71.5196351,-16.4039508
1253000690,-71.5301442,-16.3902124
1253000709,-71.5449306,-16.4105753
1253000767,-71.5265763,-16.3961967
1253002123,-71.5182955,-16.4068661
1253002760,-71.5406237,-16.4147966
1253003144,-71.538098,-16.4201881
1253003569,-71.5495812,-16.3996813
1253003891,-71.5367851,-16.4029884
1253005222,-71.5415038,-16.4011362
1253005372,-71.5338698,-16.4167202
1253006228,-71.5419443,-16.4069292
1253008354,-71.537626,-16.3991278
1253009219,-71.5356233,-16.4075409
1253010622,-71.5429571,-16.4064417
1253011195,-71.5285846,-16.4085374
1253011499,-71.5522392,-16.4219723
1253014981,-71.5314205,-16.3905772
1253020294,-71.5405463,-16.4004842
1253023725,-71.5342757,-16.4088633
1253032353,-71.5434744,-16.4086912
1253034020,-71.5363993,-16.4109938
1253034193,-71.531828,-16.4114135
1253035248,-71.5405263,-16.4203972
1253035395,-71.5437174,-16.3980686
1253035570,-71.526817,-16.4072778
1253035660,-71.5294231,-16.4024946
1253036907,-71.5266352,-16.4095607
1253037009,-71.5307723,-16.4058546
1253037869,-71.5377593,-16.4026135
1264281008,-71.5456757,-16.3956736
1264281009,-71.5218113,-16.4041995
1264281015,-71.5350788,-16.3924123
1264281373,-71.5365622,-16.3994823
1264281454,-71.5254347,-16.4058295
1264281629,-71.537713,-16.4193079
1264281721,-71.5249681,-16.4066882
1264281868,-71.5395473,-16.4149508
1264282023,-71.5313521,-16.4048234
1264282115,-71.5393625,-16.4038118
1264282362,-71.5475729,-16.3999403
1264282455,-71.5239683,-16.4106053
1264282738,-71.5311129,-16.4073523
1264282832,-71.5520613,-16.4112627
1264282930,-71.5384962,-16.4120543
1264283681,-71.5322183,-16.4062779
1264284118,-71.5409986,-16.4013036
1264284197,-71.5339691,-16.4077109
1264284392,-71.5289858,-16.4088106
1264284698,-71.5344483,-16.4098117
1264284707,-71.5280461,-16.4048537
1264284746,-71.5314464,-16.4118484
1264284856,-71.5369632,-16.3941436
1264284932,-71.5256664,-16.4060212
1264285300,-71.5269592,-16.4117732
1264285668,-71.5221142,-16.4000049
1264285671,-71.5411121,-16.4030677
1264285733,-71.5284551,-16.4119822
1264285740,-71.5297983,-16.4069426
1264285910,-71.535427,-16.4124915
1264285997,-71.5475797,-16.3965273
1264286078,-71.5378593,-16.405589
1264286415,-71.534333,-16.4149176
1264286536,-71.5424569,-16.3985667
1264286581,-71.563503,-16.4322463
1264286865,-71.5293661,-16.4051509
1264286908,-71.53488,-16.4012861
1264286952,-71.526133,-16.4009629
1264287101,-71.5436192,-16.406983
1264287203,-71.5283706,-16.4003034
1264287212,-71.5489288,-16.4181767
1264287259,-71.541262,-16.4121868
1264287347,-71.5556246,-16.4241465
1264287525,-71.518505,-16.4034302
