edge_id,from_node,to_node
171693069,1264339073,283789844
1185366443,5693791866,283789846
198345700,283789846,283795209
198345700,286866810,283789846
25980282,283795209,1396135809
1185366444,4682408335,283795209
27640077,873867970,283812502
110813778,1264292334,283812502
27640077,5208947857,283812502
26008336,283812507,10062503682
110843401,283812509,283812507
27640077,1252919040,283812507
26008336,10062503685,283812507
405722947,283812509,10062503684
110843401,1264360471,283812509
405722947,10062503683,283812509
27640077,1252919040,283814466
27640077,5208947860,283814466
110843787,5208947864,283814466
903290103,286866810,286866805
538066345,286866805,11010994631
538066345,5693791866,286866805
198345700,11010994632,286866810
103800674,287889414,1198315931
540035649,287889414,1264343694
26282228,11002056720,287889414
26282269,11008718139,303567295
1185125708,303567317,303567295
598199975,303567295,10920891207
536991707,5200768339,303567295
23552143,303567317,11008718138
25980174,5203031705,303567317
558922932,10920891210,303567317
109453211,409472812,11013404035
227667738,409472812,1264365120
109453211,1253003144,409472812
227667738,4020778170,409472812
110824792,1252986345,409472813
227667738,409472813,11013403961
110821053,1253035248,409472813
227667738,4020778163,409472813
227667738,409472815,11013404068
558919022,1264303693,409472815
558919022,5391078854,409472815
227667738,11013404091,409472815
906037027,5391078209,409472817
906037027,1264324744,409472817
227667738,409472817,4020778158
227667738,11013403961,409472817
110816100,409473092,2087709217
1167637744,409473092,10779219045
110816100,10907229438,409473092
419750905,461499177,11011286381
873382763,461499177,10885702045
419750905,1284563454,461499177
23798530,1284563574,461499177
38855847,461499178,911059921
409153478,461499178,1284563421
873382764,4427963954,461499178
873382763,10885702045,461499178
110815337,1264349178,462009629
110815337,4049211653,462009629
873382764,462009629,914202058
399826756,4049211656,462009629
62002254,462009631,914202058
675622469,462009631,1264349178
675622469,911059921,462009631
62002254,4110755574,462009631
110829708,1284479843,472283032
644545197,472283032,5379249150
644545197,914626999,472283032
356857774,472283033,531252148
1270954405,472283033,10997907532
1284435489,531270096,472283033
113213184,5379249145,472283033
535581057,1264342868,531251853
42551431,1284479893,531251864
113213184,531251864,8692107835
113213184,10885702067,531251864
113213184,531251889,10885702051
110826419,1284479860,531251889
356841217,6061568161,531251889
113213184,8692107835,531251889
42551429,1284479843,531251996
644545197,531251996,531252143
644545197,5379249150,531251996
42551429,1284479860,531252021
42551431,6061568168,531252021
73851180,531252021,873868065
110837674,1264330798,531252021
938235844,1264301856,531252021
644545197,531252143,2084081650
42551715,531252143,531270064
113219952,531252148,1284479856
644545184,531252148,6061568161
200018280,531269880,531252148
530398170,2099985001,531263579
561141977,1284563504,531263579
761297274,531269963,531269880
200018280,5150516924,531269880
356857773,531269963,5150516925
356857773,10997907532,531269963
761297274,10997907533,531269963
1284435490,531270051,531270096
42551713,10997907533,531270051
354690408,531270051,531270064
42551714,531270109,531270051
1270954404,531270064,4025045388
902508901,531270109,531270064
1254745368,11664040834,531270064
675622468,531270069,4025046911
399823497,5180886026,531270069
